run,move,player,action,time_elapsed,nodes_expanded,col_cat,phase
27,3,1,6,0.2908360958099365,32,edge,early
27,4,-1,6,0.1316990852355957,18,edge,early
27,5,1,6,0.16516566276550293,21,edge,early
27,6,-1,5,0.16466999053955078,16,edge,early
27,7,1,6,0.1587388515472412,21,edge,early
27,8,-1,1,0.15964317321777344,18,edge,mid
27,9,1,6,0.09052038192749023,14,edge,mid
27,10,-1,3,0.10711312294006348,18,center,mid
27,11,1,2,0.09052038192749023,14,center,mid
27,12,-1,5,0.12369656562805176,16,edge,mid
27,13,1,5,0.08639025688171387,17,edge,mid
27,14,-1,5,0.10013222694396973,14,edge,mid
27,15,1,5,0.07495856285095215,12,edge,late
27,16,-1,1,0.07150888442993164,15,edge,late
27,17,1,1,0.07495856285095215,12,edge,late
27,18,-1,5,0.06345200538635254,13,edge,late
27,19,1,4,0.04978036880493164,8,center,late
27,20,-1,1,0.035683631896972656,8,edge,late
27,21,1,4,0.04881143569946289,11,center,late
27,22,-1,0,0.05032849311828613,11,edge,late
27,23,1,4,0.030260801315307617,6,center,late
27,24,-1,4,0.05032849311828613,11,center,late
27,25,1,4,0.04585456848144531,11,center,late
27,26,-1,3,0.055060625076293945,11,center,late
27,27,1,2,0.04585456848144531,11,center,late
27,28,-1,2,0.019730329513549805,5,center,late
27,29,1,4,0.012848377227783203,3,center,late
27,30,-1,0,0.011592388153076172,3,edge,late
27,31,1,0,0.012848377227783203,3,edge,late
27,32,-1,3,0.011592388153076172,3,center,late
28,0,-1,5,0.3092360496520996,35,edge,early
28,1,1,6,0.18057894706726074,25,edge,early
28,2,-1,2,0.2654128074645996,35,center,early
28,3,1,6,0.15526175498962402,20,edge,early
28,4,-1,4,0.1384105682373047,20,center,early
28,5,1,3,0.15526175498962402,20,center,early
28,6,-1,3,0.19190430641174316,35,center,early
28,7,1,6,0.1753220558166504,27,edge,early
28,8,-1,6,0.19190430641174316,35,edge,mid
28,9,1,6,0.05982565879821777,9,edge,mid
28,10,-1,0,0.052420616149902344,9,edge,mid
28,11,1,6,0.19032049179077148,31,edge,mid
28,12,-1,1,0.13489055633544922,23,edge,mid
28,13,1,5,0.024404525756835938,7,edge,mid
28,14,-1,2,0.027418136596679688,7,center,mid
28,15,1,5,0.08191418647766113,13,edge,late
28,16,-1,5,0.018680095672607422,5,edge,late
28,17,1,5,0.01393437385559082,5,edge,late
28,18,-1,5,0.010805368423461914,3,edge,late
28,19,1,4,0.0072667598724365234,3,center,late
28,20,-1,4,0.010805368423461914,3,center,late
29,0,-1,4,0.31459522247314453,35,center,early
29,1,1,6,0.18202972412109375,21,edge,early
29,2,-1,1,0.2541780471801758,35,edge,early
29,3,1,6,0.19433999061584473,26,edge,early
29,4,-1,5,0.2356564998626709,35,edge,early
29,5,1,6,0.21271657943725586,25,edge,early
29,6,-1,6,0.2356564998626709,35,edge,early
29,7,1,6,0.10268235206604004,15,edge,early
29,8,-1,2,0.09086823463439941,16,center,mid
29,9,1,3,0.10268235206604004,15,center,mid
29,10,-1,0,0.10062789916992188,15,edge,mid
29,11,1,6,0.12635231018066406,14,edge,mid
29,12,-1,4,0.14268875122070312,23,center,mid
29,13,1,5,0.05843949317932129,13,edge,mid
29,14,-1,4,0.1551985740661621,21,center,mid
29,15,1,4,0.05843949317932129,13,center,late
29,16,-1,4,0.05771231651306152,10,center,late
29,17,1,5,0.07230973243713379,13,edge,late
29,18,-1,3,0.058272600173950195,8,center,late
29,19,1,5,0.07230973243713379,13,edge,late
29,20,-1,5,0.058272600173950195,8,edge,late
29,21,1,5,0.04738473892211914,10,edge,late
29,22,-1,4,0.020359039306640625,4,center,late
29,23,1,3,0.03419041633605957,8,center,late
29,24,-1,2,0.014870166778564453,4,center,late
29,25,1,1,0.03419041633605957,8,edge,late
29,26,-1,3,0.007860422134399414,2,center,late
29,27,1,3,0.03419041633605957,8,center,late
